index,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,Year,Tm,Playoff
4,0.34,94,0.291,0.17,0.032,0.149,0.068,0.17800000000000002,0.435,0.26899999999999996,0.82,0.294,0.513,0.193,-3.9,-0.013000000000000001,-38.9,0.28,0.63,0.4,2005,Chicago Cubs,No
5,0.331,93,0.286,0.163,0.033,0.163,0.071,0.16699999999999998,0.43,0.275,0.79,0.29,0.515,0.195,0.5,0.036000000000000004,-36.1,0.3,0.67,0.45,2005,Chicago White Sox,Yes
6,0.35,104,0.302,0.185,0.035,0.20600000000000002,0.09699999999999999,0.20600000000000002,0.434,0.271,0.8,0.26899999999999996,0.55,0.18100000000000002,5.5,-0.003,88.3,0.31,0.76,0.4,2005,Cincinnati Reds,No
7,0.348,113,0.302,0.181,0.033,0.175,0.08,0.17800000000000002,0.44299999999999995,0.289,0.82,0.295,0.545,0.16,1.1,-0.015,50.0,0.31,0.63,0.42,2005,Cleveland Indians,No
8,0.339,86,0.307,0.144,0.024,0.177,0.08199999999999999,0.201,0.431,0.258,0.8,0.25,0.545,0.205,-5.5,-0.003,-22.8,0.31,0.67,0.43,2005,Colorado Rockies,No
9,0.332,99,0.304,0.157,0.027000000000000003,0.16899999999999998,0.063,0.182,0.44,0.27899999999999997,0.82,0.273,0.528,0.2,-6.3,-0.013000000000000001,-25.3,0.31,0.7,0.36,2005,Detroit Tigers,No
10,0.335,100,0.304,0.137,0.021,0.14800000000000002,0.08199999999999999,0.192,0.428,0.258,0.8,0.264,0.5379999999999999,0.198,-1.1,-0.028999999999999998,8.7,0.3,0.72,0.36,2005,Florida Marlins,No
11,0.33,88,0.288,0.152,0.026000000000000002,0.16899999999999998,0.078,0.153,0.429,0.287,0.8,0.292,0.528,0.18,-7.5,-0.022000000000000002,-37.1,0.29,0.72,0.36,2005,Houston Astros,Yes
12,0.32,90,0.298,0.134,0.021,0.166,0.07,0.182,0.441,0.275,0.82,0.254,0.547,0.19899999999999998,-7.5,-0.015,-52.1,0.31,0.62,0.42,2005,Kansas City Royals,No
13,0.329,96,0.294,0.139,0.024,0.13699999999999998,0.07200000000000001,0.168,0.42200000000000004,0.305,0.76,0.27399999999999997,0.5379999999999999,0.188,1.3,0.009000000000000001,7.9,0.33,0.74,0.43,2005,Los Angeles Angels of Anaheim,Yes
14,0.326,90,0.29,0.142,0.024,0.17800000000000002,0.08800000000000001,0.191,0.431,0.272,0.79,0.27899999999999997,0.537,0.185,-4.2,-0.01,-39.8,0.29,0.62,0.35,2005,Los Angeles Dodgers,No
15,0.338,96,0.298,0.163,0.027999999999999997,0.18899999999999997,0.086,0.201,0.424,0.27399999999999997,0.77,0.261,0.535,0.204,-1.1,-0.023,-2.2,0.3,0.7,0.41,2005,Milwaukee Brewers,No
16,0.32,86,0.291,0.132,0.022000000000000002,0.158,0.078,0.163,0.491,0.254,1.01,0.247,0.546,0.207,-8.1,-0.05,-81.5,0.29,0.7,0.35,2005,Minnesota Twins,No
17,0.335,95,0.29,0.158,0.028999999999999998,0.175,0.079,0.166,0.44299999999999995,0.28300000000000003,0.84,0.264,0.557,0.18,-0.8,-0.023,8.6,0.31,0.79,0.41,2005,New York Mets,No
18,0.361,119,0.297,0.174,0.036000000000000004,0.154,0.099,0.165,0.46399999999999997,0.284,0.89,0.302,0.535,0.163,15.0,0.162,150.9,0.31,0.76,0.41,2005,New York Yankees,Yes
19,0.332,97,0.281,0.145,0.025,0.131,0.086,0.187,0.428,0.29100000000000004,0.76,0.281,0.53,0.18899999999999997,-1.3,-0.047,15.5,0.32,0.58,0.44,2005,Oakland Athletics,No
20,0.348,96,0.306,0.154,0.026000000000000002,0.171,0.10099999999999999,0.209,0.40700000000000003,0.275,0.72,0.284,0.537,0.179,2.0,0.008,70.8,0.31,0.81,0.37,2005,Philadelphia Phillies,No
21,0.33,91,0.297,0.141,0.022000000000000002,0.17600000000000002,0.076,0.17800000000000002,0.449,0.281,0.85,0.28,0.544,0.175,-9.1,-0.031,-50.7,0.29,0.71,0.37,2005,Pittsburgh Pirates,No
22,0.329,99,0.289,0.134,0.021,0.156,0.096,0.193,0.413,0.27699999999999997,0.74,0.294,0.518,0.188,-2.2,0.005,-20.5,0.28,0.69,0.37,2005,San Diego Padres,Yes
23,0.318,92,0.289,0.136,0.021,0.162,0.077,0.185,0.45,0.267,0.85,0.248,0.555,0.19699999999999998,-6.7,-0.013999999999999999,-37.1,0.31,0.68,0.41,2005,Seattle Mariners,No
24,0.323,84,0.29,0.135,0.021,0.14800000000000002,0.071,0.18899999999999997,0.429,0.267,0.8,0.28600000000000003,0.5479999999999999,0.16699999999999998,-5.0,-0.002,-87.2,0.29,0.67,0.4,2005,San Francisco Giants,No
25,0.344,99,0.297,0.153,0.027000000000000003,0.152,0.086,0.195,0.447,0.26,0.85,0.276,0.524,0.19899999999999998,6.6,0.025,75.2,0.33,0.7,0.41,2005,St. Louis Cardinals,Yes
26,0.335,100,0.306,0.151,0.026000000000000002,0.162,0.067,0.185,0.431,0.285,0.79,0.285,0.525,0.19,0.8,-0.005,4.1,0.32,0.76,0.44,2005,Tampa Bay Devil Rays,No
27,0.352,105,0.29,0.201,0.040999999999999995,0.177,0.079,0.195,0.39799999999999996,0.311,0.67,0.29100000000000004,0.526,0.183,4.4,0.018000000000000002,90.2,0.33,0.82,0.41,2005,Texas Rangers,No
28,0.331,94,0.296,0.142,0.022000000000000002,0.153,0.078,0.193,0.449,0.264,0.83,0.28300000000000003,0.525,0.192,-5.7,-0.038,6.0,0.33,0.67,0.39,2005,Toronto Blue Jays,No
29,0.317,87,0.293,0.134,0.019,0.17800000000000002,0.08,0.18899999999999997,0.445,0.256,0.85,0.255,0.552,0.193,-9.2,-0.099,-81.9,0.28,0.5,0.42,2005,Washington Nationals,No
0,0.337,87,0.294,0.157,0.025,0.152,0.08,0.18100000000000002,0.433,0.27899999999999997,0.79,0.271,0.547,0.182,-8.1,-0.055,-37.4,0.32,0.72,0.41,2006,Arizona Diamondbacks,No
1,0.349,101,0.304,0.184,0.035,0.18600000000000003,0.084,0.19,0.423,0.295,0.77,0.267,0.527,0.207,3.8,0.0,73.5,0.33,0.6,0.42,2006,Atlanta Braves,No
2,0.344,99,0.302,0.146,0.026000000000000002,0.141,0.076,0.193,0.44,0.27,0.82,0.32,0.47,0.21,-2.4,-0.001,-16.4,0.3,0.79,0.37,2006,Baltimore Orioles,No
3,0.351,99,0.298,0.166,0.03,0.16399999999999998,0.10400000000000001,0.19399999999999998,0.39799999999999996,0.307,0.68,0.321,0.502,0.17600000000000002,4.3,0.05,10.7,0.3,0.69,0.35,2006,Boston Red Sox,No
4,0.332,86,0.294,0.154,0.027000000000000003,0.151,0.064,0.177,0.462,0.254,0.92,0.24600000000000002,0.564,0.19,-8.1,-0.022000000000000002,-77.9,0.31,0.71,0.41,2006,Chicago Cubs,No
5,0.356,104,0.305,0.184,0.037000000000000005,0.16699999999999998,0.08,0.177,0.41700000000000004,0.305,0.74,0.27899999999999997,0.536,0.185,5.8,0.026000000000000002,61.3,0.32,0.66,0.34,2006,Chicago White Sox,No
6,0.34,90,0.29,0.175,0.035,0.18899999999999997,0.098,0.19899999999999998,0.426,0.26899999999999996,0.78,0.27699999999999997,0.547,0.17600000000000002,-0.1,-0.018000000000000002,-46.5,0.28,0.79,0.4,2006,Cincinnati Reds,No
7,0.355,108,0.324,0.177,0.031,0.191,0.08800000000000001,0.19699999999999998,0.419,0.3,0.74,0.271,0.54,0.19,4.0,0.012,88.9,0.34,0.71,0.38,2006,Cleveland Indians,No
8,0.343,88,0.31,0.163,0.025,0.175,0.08800000000000001,0.201,0.42200000000000004,0.275,0.78,0.255,0.5379999999999999,0.207,-6.3,-0.086,-2.5,0.33,0.63,0.43,2006,Colorado Rockies,No
9,0.345,100,0.31,0.174,0.033,0.183,0.069,0.182,0.42100000000000004,0.306,0.75,0.27399999999999997,0.522,0.204,0.6,0.021,30.6,0.33,0.6,0.44,2006,Detroit Tigers,Yes
10,0.338,99,0.309,0.171,0.028999999999999998,0.20199999999999999,0.08,0.179,0.429,0.282,0.8,0.278,0.526,0.196,1.3,-0.002,3.9,0.31,0.65,0.41,2006,Florida Marlins,No
11,0.329,87,0.286,0.154,0.027999999999999997,0.17,0.09300000000000001,0.162,0.423,0.293,0.78,0.268,0.5379999999999999,0.19399999999999998,-7.2,-0.077,-59.3,0.29,0.69,0.44,2006,Houston Astros,No
12,0.331,89,0.311,0.14,0.02,0.16699999999999998,0.076,0.18600000000000003,0.47100000000000003,0.25,0.93,0.248,0.55,0.20199999999999999,-2.2,-0.011000000000000001,-44.7,0.32,0.66,0.42,2006,Kansas City Royals,No
13,0.337,93,0.301,0.15,0.026000000000000002,0.147,0.078,0.174,0.43799999999999994,0.299,0.8,0.27899999999999997,0.541,0.18,-3.0,-0.03,-29.0,0.31,0.72,0.49,2006,Los Angeles Angels of Anaheim,No
14,0.348,99,0.307,0.157,0.024,0.15,0.094,0.184,0.439,0.28300000000000003,0.82,0.273,0.541,0.185,0.2,0.021,32.1,0.32,0.72,0.39,2006,Los Angeles Dodgers,Yes
15,0.332,89,0.3,0.162,0.028999999999999998,0.201,0.08199999999999999,0.19699999999999998,0.42200000000000004,0.27899999999999997,0.76,0.259,0.5489999999999999,0.192,-1.4,-0.006999999999999999,-43.3,0.3,0.66,0.43,2006,Milwaukee Brewers,No
16,0.344,101,0.316,0.138,0.023,0.14,0.079,0.188,0.46799999999999997,0.259,0.91,0.248,0.55,0.203,2.6,0.016,21.3,0.32,0.71,0.41,2006,Minnesota Twins,Yes
17,0.346,99,0.293,0.181,0.032,0.17,0.087,0.17600000000000002,0.425,0.28800000000000003,0.78,0.271,0.542,0.187,7.7,0.027000000000000003,63.3,0.34,0.81,0.41,2006,New York Mets,Yes
18,0.368,113,0.315,0.177,0.033,0.163,0.10099999999999999,0.185,0.45399999999999996,0.276,0.85,0.27399999999999997,0.537,0.18899999999999997,12.5,0.1,140.1,0.33,0.8,0.37,2006,New York Yankees,Yes
19,0.339,98,0.285,0.152,0.027999999999999997,0.155,0.10400000000000001,0.193,0.428,0.28300000000000003,0.76,0.267,0.542,0.191,2.7,0.012,-10.2,0.3,0.75,0.35,2006,Oakland Athletics,Yes
20,0.353,99,0.302,0.18,0.033,0.185,0.096,0.192,0.42700000000000005,0.282,0.77,0.305,0.518,0.177,4.1,0.027000000000000003,65.7,0.31,0.79,0.43,2006,Philadelphia Phillies,No
21,0.325,86,0.31,0.134,0.023,0.193,0.07400000000000001,0.19399999999999998,0.43700000000000006,0.26899999999999996,0.81,0.266,0.545,0.18899999999999997,-12.7,-0.016,-84.4,0.29,0.75,0.37,2006,Pittsburgh Pirates,No
22,0.336,100,0.299,0.154,0.026000000000000002,0.17600000000000002,0.09,0.184,0.415,0.304,0.74,0.27399999999999997,0.524,0.20199999999999999,-2.1,-0.013000000000000001,-23.3,0.29,0.8,0.41,2006,San Diego Padres,Yes
23,0.336,96,0.3,0.153,0.027999999999999997,0.157,0.065,0.183,0.449,0.26899999999999996,0.84,0.285,0.53,0.185,-6.5,-0.049,-30.3,0.32,0.74,0.4,2006,Seattle Mariners,No
24,0.33,88,0.282,0.163,0.027000000000000003,0.145,0.081,0.172,0.428,0.28300000000000003,0.78,0.297,0.5589999999999999,0.14400000000000002,-2.8,-0.017,-26.6,0.31,0.7,0.35,2006,San Francisco Giants,No
25,0.339,96,0.292,0.163,0.03,0.14800000000000002,0.085,0.2,0.44,0.257,0.82,0.289,0.5329999999999999,0.17800000000000002,1.6,0.038,11.9,0.31,0.65,0.43,2006,St. Louis Cardinals,Yes
26,0.325,86,0.285,0.165,0.032,0.183,0.073,0.174,0.431,0.28600000000000003,0.79,0.29100000000000004,0.528,0.18100000000000002,-11.9,-0.006,-99.5,0.29,0.72,0.4,2006,Tampa Bay Devil Rays,No
27,0.348,101,0.311,0.168,0.028999999999999998,0.16899999999999998,0.081,0.18899999999999997,0.42700000000000005,0.28800000000000003,0.76,0.28600000000000003,0.523,0.19,1.0,0.021,40.5,0.33,0.69,0.38,2006,Texas Rangers,No
28,0.356,108,0.306,0.179,0.032,0.145,0.08199999999999999,0.19899999999999998,0.424,0.294,0.75,0.258,0.5589999999999999,0.183,2.9,0.023,23.1,0.31,0.66,0.39,2006,Toronto Blue Jays,No
29,0.334,98,0.301,0.156,0.026000000000000002,0.184,0.095,0.201,0.42200000000000004,0.271,0.77,0.266,0.5329999999999999,0.201,2.7,-0.01,-12.7,0.3,0.66,0.44,2006,Washington Nationals,No
0,0.329,79,0.282,0.163,0.027999999999999997,0.182,0.087,0.18100000000000002,0.409,0.29100000000000004,0.72,0.268,0.5720000000000001,0.16,-3.3,-0.004,-66.4,0.3,0.82,0.41,2007,Arizona Diamondbacks,Yes
1,0.345,102,0.314,0.16,0.027999999999999997,0.18,0.084,0.166,0.436,0.308,0.8,0.271,0.557,0.172,1.2,-0.001,55.4,0.32,0.68,0.38,2007,Atlanta Braves,No
2,0.338,94,0.302,0.141,0.023,0.15,0.08,0.177,0.43700000000000006,0.28800000000000003,0.8,0.297,0.496,0.207,-5.4,-0.024,-39.2,0.31,0.77,0.36,2007,Baltimore Orioles,No
3,0.363,107,0.315,0.165,0.026000000000000002,0.162,0.107,0.192,0.41700000000000004,0.303,0.74,0.28600000000000003,0.555,0.16,0.3,0.016,65.9,0.32,0.8,0.34,2007,Boston Red Sox,Yes
4,0.339,91,0.308,0.15,0.024,0.168,0.08,0.19699999999999998,0.445,0.26899999999999996,0.83,0.251,0.5710000000000001,0.17800000000000002,-3.6,-0.013000000000000001,-23.6,0.31,0.72,0.4,2007,Chicago Cubs,Yes
5,0.326,84,0.278,0.158,0.031,0.188,0.087,0.18100000000000002,0.433,0.276,0.8,0.275,0.563,0.163,-9.2,-0.025,-109.3,0.29,0.63,0.4,2007,Chicago White Sox,No
6,0.344,93,0.298,0.17,0.032,0.17600000000000002,0.085,0.195,0.41,0.27899999999999997,0.73,0.247,0.593,0.161,-1.9,-0.021,4.3,0.3,0.76,0.39,2007,Cincinnati Reds,No
7,0.345,101,0.31,0.159,0.027999999999999997,0.18899999999999997,0.09300000000000001,0.187,0.415,0.315,0.73,0.273,0.561,0.166,1.9,-0.005,16.7,0.31,0.64,0.41,2007,Cleveland Indians,Yes
8,0.353,98,0.322,0.158,0.026000000000000002,0.177,0.096,0.221,0.42,0.261,0.77,0.22899999999999998,0.595,0.17600000000000002,7.6,0.092,66.0,0.32,0.76,0.45,2007,Colorado Rockies,Yes
9,0.358,108,0.323,0.171,0.027999999999999997,0.166,0.075,0.203,0.42,0.285,0.74,0.287,0.5539999999999999,0.159,4.6,0.03,89.9,0.35,0.77,0.4,2007,Detroit Tigers,No
10,0.348,104,0.315,0.181,0.032,0.21,0.08199999999999999,0.19899999999999998,0.397,0.287,0.69,0.27699999999999997,0.556,0.16699999999999998,2.8,0.003,39.8,0.3,0.76,0.34,2007,Florida Marlins,No
11,0.331,90,0.291,0.152,0.026000000000000002,0.165,0.087,0.17600000000000002,0.43,0.276,0.79,0.242,0.59,0.16899999999999998,-8.1,-0.036000000000000004,-54.0,0.29,0.66,0.35,2007,Houston Astros,No
12,0.322,86,0.305,0.126,0.017,0.174,0.07,0.188,0.469,0.256,0.92,0.23,0.5820000000000001,0.188,-11.8,-0.02,-88.7,0.32,0.64,0.44,2007,Kansas City Royals,No
13,0.343,99,0.315,0.133,0.02,0.14300000000000002,0.08199999999999999,0.17300000000000001,0.467,0.267,0.91,0.263,0.578,0.159,4.3,0.039,38.9,0.35,0.72,0.45,2007,Los Angeles Angels of Anaheim,Yes
14,0.332,89,0.303,0.131,0.021,0.138,0.081,0.183,0.45399999999999996,0.262,0.88,0.235,0.598,0.166,-5.0,-0.052000000000000005,-31.4,0.3,0.73,0.41,2007,Los Angeles Dodgers,No
15,0.346,100,0.289,0.194,0.037000000000000005,0.182,0.08,0.18600000000000003,0.41100000000000003,0.295,0.73,0.273,0.556,0.172,1.7,0.0,40.4,0.32,0.75,0.39,2007,Milwaukee Brewers,No
16,0.329,94,0.291,0.127,0.019,0.136,0.083,0.154,0.495,0.266,1.02,0.237,0.5870000000000001,0.17600000000000002,-8.3,-0.051,-51.0,0.31,0.79,0.44,2007,Minnesota Twins,No
17,0.348,101,0.303,0.157,0.027999999999999997,0.155,0.087,0.192,0.43700000000000006,0.26,0.83,0.264,0.5710000000000001,0.165,5.0,0.052000000000000005,52.6,0.32,0.81,0.41,2007,New York Mets,No
18,0.373,120,0.318,0.174,0.031,0.152,0.098,0.203,0.455,0.266,0.86,0.259,0.579,0.161,11.3,0.08199999999999999,175.0,0.35,0.75,0.43,2007,New York Yankees,Yes
19,0.338,103,0.29,0.151,0.027000000000000003,0.17600000000000002,0.10400000000000001,0.20600000000000002,0.409,0.284,0.7,0.262,0.5760000000000001,0.162,-5.8,-0.048,-30.5,0.29,0.72,0.39,2007,Oakland Athletics,No
20,0.364,106,0.311,0.184,0.033,0.184,0.098,0.19,0.405,0.302,0.71,0.282,0.545,0.17300000000000001,10.3,0.106,121.0,0.32,0.88,0.39,2007,Philadelphia Phillies,Yes
21,0.328,90,0.303,0.149,0.024,0.183,0.075,0.193,0.41700000000000004,0.28800000000000003,0.75,0.26,0.568,0.172,-7.8,-0.04,-33.5,0.31,0.69,0.39,2007,Pittsburgh Pirates,No
22,0.325,97,0.291,0.16,0.027000000000000003,0.19399999999999998,0.08800000000000001,0.19899999999999998,0.395,0.312,0.68,0.273,0.573,0.154,-3.0,0.016,1.1,0.31,0.7,0.43,2007,San Diego Padres,No
23,0.345,105,0.313,0.138,0.025,0.139,0.063,0.18899999999999997,0.473,0.252,0.92,0.264,0.574,0.162,5.3,0.022000000000000002,29.8,0.32,0.73,0.38,2007,Seattle Mariners,No
24,0.318,78,0.281,0.133,0.021,0.146,0.086,0.17300000000000001,0.44299999999999995,0.272,0.84,0.261,0.5820000000000001,0.157,-11.1,-0.034,-90.5,0.29,0.78,0.4,2007,San Francisco Giants,No
25,0.334,93,0.303,0.132,0.023,0.146,0.08199999999999999,0.19699999999999998,0.433,0.271,0.8,0.267,0.5489999999999999,0.185,-2.2,-0.016,-29.5,0.3,0.63,0.4,2007,St. Louis Cardinals,No
26,0.346,103,0.318,0.165,0.03,0.21100000000000002,0.087,0.204,0.425,0.284,0.75,0.29600000000000004,0.53,0.175,-1.5,0.006999999999999999,-3.2,0.31,0.73,0.41,2007,Tampa Bay Devil Rays,No
27,0.341,97,0.305,0.163,0.028999999999999998,0.19699999999999998,0.081,0.214,0.406,0.27899999999999997,0.72,0.261,0.555,0.184,0.4,-0.012,29.1,0.34,0.78,0.46,2007,Texas Rangers,No
28,0.335,94,0.29,0.16,0.027000000000000003,0.16899999999999998,0.086,0.21,0.40299999999999997,0.287,0.69,0.254,0.593,0.153,-4.2,-0.021,-37.3,0.31,0.72,0.35,2007,Toronto Blue Jays,No
29,0.322,88,0.3,0.134,0.02,0.182,0.085,0.2,0.45299999999999996,0.248,0.87,0.242,0.5820000000000001,0.175,-7.2,-0.027000000000000003,-68.3,0.29,0.75,0.39,2007,Washington Nationals,No
0,0.331,84,0.299,0.164,0.026000000000000002,0.209,0.095,0.191,0.389,0.31,0.66,0.262,0.563,0.174,-2.3,-0.04,-32.3,0.3,0.72,0.4,2008,Arizona Diamondbacks,No
1,0.341,101,0.309,0.138,0.02,0.161,0.09699999999999999,0.18,0.435,0.28800000000000003,0.81,0.251,0.57,0.17800000000000002,-3.4,-0.027999999999999997,25.1,0.3,0.68,0.39,2008,Atlanta Braves,No
2,0.342,100,0.296,0.162,0.027999999999999997,0.159,0.086,0.18600000000000003,0.424,0.294,0.75,0.259,0.5720000000000001,0.16899999999999998,-0.8,-0.005,16.5,0.32,0.69,0.4,2008,Baltimore Orioles,No
3,0.361,107,0.315,0.168,0.027000000000000003,0.16699999999999998,0.10099999999999999,0.188,0.408,0.312,0.71,0.297,0.5479999999999999,0.155,4.5,0.046,61.4,0.31,0.77,0.34,2008,Boston Red Sox,Yes
4,0.356,102,0.321,0.165,0.028999999999999998,0.18600000000000003,0.1,0.191,0.42,0.304,0.76,0.244,0.5710000000000001,0.185,8.2,0.052000000000000005,107.6,0.32,0.72,0.37,2008,Chicago Cubs,Yes
5,0.347,101,0.281,0.185,0.038,0.163,0.087,0.18,0.39899999999999997,0.309,0.68,0.293,0.555,0.152,-2.2,-0.045,26.5,0.31,0.66,0.36,2008,Chicago White Sox,Yes
6,0.327,86,0.278,0.161,0.03,0.182,0.091,0.19,0.431,0.262,0.81,0.27,0.575,0.155,-1.8,-0.003,-37.2,0.29,0.64,0.36,2008,Cincinnati Reds,No
7,0.344,104,0.305,0.162,0.027000000000000003,0.193,0.08900000000000001,0.18100000000000002,0.402,0.325,0.69,0.318,0.529,0.153,0.6,-0.036000000000000004,48.1,0.32,0.73,0.42,2008,Cleveland Indians,No
8,0.343,89,0.308,0.152,0.025,0.192,0.09,0.204,0.418,0.28,0.76,0.24600000000000002,0.589,0.165,-3.4,-0.021,-20.4,0.3,0.79,0.46,2008,Colorado Rockies,No
9,0.35,105,0.301,0.173,0.032,0.17,0.09,0.198,0.431,0.275,0.77,0.28,0.5579999999999999,0.162,2.4,-0.003,45.3,0.32,0.67,0.38,2008,Detroit Tigers,No
10,0.338,95,0.3,0.179,0.034,0.221,0.08800000000000001,0.195,0.41200000000000003,0.285,0.73,0.297,0.547,0.156,7.5,0.036000000000000004,40.0,0.31,0.73,0.36,2008,Florida Marlins,No
11,0.329,93,0.296,0.152,0.027999999999999997,0.174,0.07400000000000001,0.154,0.449,0.292,0.86,0.258,0.5710000000000001,0.172,5.0,0.006,-3.6,0.31,0.69,0.38,2008,Houston Astros,No
12,0.323,90,0.307,0.128,0.02,0.16399999999999998,0.064,0.18899999999999997,0.46,0.261,0.89,0.20800000000000002,0.621,0.17,-8.5,-0.04,-74.0,0.31,0.68,0.42,2008,Kansas City Royals,No
13,0.335,93,0.299,0.145,0.026000000000000002,0.16,0.078,0.161,0.461,0.282,0.88,0.268,0.565,0.16699999999999998,4.5,0.004,-0.2,0.32,0.73,0.42,2008,Los Angeles Angels of Anaheim,Yes
14,0.331,92,0.301,0.134,0.022000000000000002,0.16699999999999998,0.08800000000000001,0.182,0.462,0.27399999999999997,0.9,0.242,0.586,0.172,-3.3,0.0,-29.6,0.29,0.75,0.44,2008,Los Angeles Dodgers,Yes
15,0.341,100,0.287,0.179,0.032,0.192,0.08800000000000001,0.166,0.415,0.304,0.74,0.29600000000000004,0.54,0.16399999999999998,5.4,0.045,17.6,0.3,0.74,0.43,2008,Milwaukee Brewers,Yes
16,0.337,102,0.316,0.129,0.018000000000000002,0.155,0.084,0.165,0.451,0.27899999999999997,0.88,0.23399999999999999,0.578,0.188,4.2,-0.034,73.1,0.35,0.71,0.42,2008,Minnesota Twins,No
17,0.344,101,0.296,0.154,0.027000000000000003,0.16,0.09699999999999999,0.21,0.457,0.23600000000000002,0.89,0.262,0.5870000000000001,0.151,7.1,0.085,63.9,0.32,0.79,0.37,2008,New York Mets,No
18,0.348,101,0.302,0.156,0.028999999999999998,0.162,0.086,0.20800000000000002,0.456,0.259,0.85,0.255,0.584,0.162,-0.1,-0.017,18.3,0.31,0.75,0.39,2008,New York Yankees,No
19,0.316,88,0.289,0.127,0.02,0.2,0.094,0.187,0.409,0.28600000000000003,0.71,0.247,0.5770000000000001,0.17600000000000002,-10.9,-0.057999999999999996,-96.6,0.28,0.81,0.39,2008,Oakland Athletics,No
20,0.346,97,0.283,0.182,0.034,0.17800000000000002,0.09300000000000001,0.188,0.41600000000000004,0.28300000000000003,0.75,0.305,0.541,0.154,3.9,0.051,62.4,0.31,0.84,0.41,2008,Philadelphia Phillies,Yes
21,0.326,92,0.29,0.145,0.024,0.166,0.076,0.192,0.41600000000000004,0.294,0.75,0.275,0.565,0.159,-0.5,0.009000000000000001,-0.3,0.31,0.75,0.41,2008,Pittsburgh Pirates,No
22,0.318,97,0.294,0.14,0.025,0.20199999999999999,0.083,0.203,0.42100000000000004,0.28300000000000003,0.75,0.258,0.5820000000000001,0.16,-12.3,-0.037000000000000005,-72.6,0.26,0.68,0.37,2008,San Diego Padres,No
23,0.322,91,0.294,0.124,0.02,0.14400000000000002,0.068,0.2,0.456,0.245,0.86,0.261,0.575,0.16399999999999998,-9.3,-0.018000000000000002,-82.3,0.29,0.74,0.37,2008,Seattle Mariners,No
24,0.32,81,0.305,0.12,0.015,0.17,0.07400000000000001,0.18100000000000002,0.473,0.259,0.94,0.245,0.593,0.162,-8.3,-0.038,-104.2,0.29,0.7,0.4,2008,San Francisco Giants,No
25,0.349,106,0.312,0.152,0.027000000000000003,0.155,0.091,0.209,0.435,0.259,0.8,0.244,0.584,0.172,5.9,0.039,46.1,0.29,0.7,0.38,2008,St. Louis Cardinals,No
26,0.347,103,0.302,0.162,0.028999999999999998,0.19399999999999998,0.099,0.21600000000000003,0.43,0.26899999999999996,0.78,0.271,0.5539999999999999,0.175,2.4,0.003,8.5,0.3,0.74,0.4,2008,Tampa Bay Rays,Yes
27,0.364,115,0.325,0.179,0.03,0.18600000000000003,0.092,0.225,0.40700000000000003,0.292,0.71,0.257,0.552,0.191,9.5,0.038,133.6,0.34,0.76,0.44,2008,Texas Rangers,No
28,0.332,96,0.295,0.135,0.02,0.152,0.084,0.191,0.436,0.28300000000000003,0.79,0.243,0.599,0.158,-7.6,-0.046,-42.5,0.3,0.75,0.37,2008,Toronto Blue Jays,No
29,0.32,86,0.292,0.122,0.019,0.177,0.086,0.19,0.465,0.245,0.92,0.26,0.573,0.16699999999999998,-10.8,-0.021,-92.9,0.28,0.65,0.36,2008,Washington Nationals,No
0,0.334,89,0.299,0.165,0.027999999999999997,0.207,0.091,0.175,0.419,0.29600000000000004,0.75,0.243,0.585,0.171,-6.2,-0.022000000000000002,-19.7,0.29,0.72,0.42,2009,Arizona Diamondbacks,No
1,0.337,97,0.3,0.142,0.024,0.168,0.095,0.179,0.423,0.304,0.78,0.273,0.5479999999999999,0.179,-3.0,-0.015,12.5,0.29,0.69,0.38,2009,Atlanta Braves,No
2,0.333,93,0.3,0.147,0.026000000000000002,0.163,0.083,0.187,0.444,0.28300000000000003,0.81,0.267,0.555,0.17800000000000002,-8.5,-0.009000000000000001,-42.5,0.3,0.67,0.36,2009,Baltimore Orioles,No
3,0.361,108,0.301,0.184,0.033,0.177,0.10400000000000001,0.18,0.39399999999999996,0.33899999999999997,0.66,0.3,0.54,0.161,6.0,0.039,89.5,0.32,0.76,0.35,2009,Boston Red Sox,Yes
4,0.335,88,0.296,0.152,0.026000000000000002,0.19,0.095,0.182,0.426,0.297,0.78,0.256,0.58,0.16399999999999998,-6.0,-0.042,-32.3,0.29,0.62,0.36,2009,Chicago Cubs,No
5,0.331,87,0.285,0.153,0.03,0.16699999999999998,0.087,0.177,0.429,0.297,0.77,0.271,0.573,0.156,-8.0,-0.055,-65.0,0.29,0.7,0.38,2009,Chicago White Sox,No
6,0.323,85,0.282,0.147,0.026000000000000002,0.183,0.086,0.18100000000000002,0.423,0.27399999999999997,0.79,0.251,0.5820000000000001,0.16699999999999998,-7.1,-0.036000000000000004,-55.4,0.29,0.71,0.41,2009,Cincinnati Reds,No
7,0.341,105,0.308,0.153,0.026000000000000002,0.192,0.092,0.19699999999999998,0.43700000000000006,0.284,0.8,0.28800000000000003,0.5429999999999999,0.16899999999999998,-4.7,-0.003,9.3,0.31,0.73,0.38,2009,Cleveland Indians,No
