index,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,Year,Tm,Playoff
24,0.362,120,0.32,0.157,0.026000000000000002,0.153,0.095,0.262,0.397,0.272,0.68,0.267,0.511,0.222,17.0,0.043,167.1,0.35,0.81,0.44,2001,Seattle Mariners,Yes
25,0.35,112,0.29,0.194,0.037000000000000005,0.17,0.098,0.242,0.37200000000000005,0.303,0.62,0.315,0.513,0.17300000000000001,3.8,0.033,55.5,0.29,0.58,0.37,2001,San Francisco Giants,No
26,0.345,99,0.302,0.172,0.032,0.17600000000000002,0.086,0.245,0.406,0.27,0.72,0.27,0.528,0.20199999999999999,3.2,0.03,61.5,0.33,0.72,0.48,2001,St. Louis Cardinals,Yes
27,0.321,89,0.303,0.13,0.02,0.183,0.075,0.249,0.43200000000000005,0.249,0.79,0.303,0.5,0.19699999999999998,-8.7,-0.011000000000000001,-102.6,0.3,0.69,0.41,2001,Tampa Bay Devil Rays,No
28,0.361,110,0.3,0.195,0.039,0.171,0.086,0.25,0.382,0.308,0.63,0.303,0.505,0.192,4.2,0.004,90.0,0.33,0.75,0.42,2001,Texas Rangers,No
29,0.337,94,0.293,0.167,0.031,0.174,0.075,0.248,0.402,0.281,0.69,0.307,0.496,0.19699999999999998,-6.3,-0.031,-34.8,0.31,0.74,0.35,2001,Toronto Blue Jays,No
0,0.346,106,0.303,0.15,0.024,0.127,0.073,0.285,0.345,0.295,0.54,0.304,0.499,0.19699999999999998,5.3,0.044000000000000004,75.1,0.34,0.7,0.39,2002,Anaheim Angels,Yes
1,0.348,93,0.298,0.156,0.026000000000000002,0.161,0.102,0.278,0.4,0.245,0.7,0.272,0.532,0.196,5.5,0.039,79.9,0.32,0.67,0.42,2002,Arizona Diamondbacks,Yes
2,0.335,91,0.29,0.15,0.026000000000000002,0.165,0.09,0.233,0.428,0.262,0.79,0.27699999999999997,0.529,0.193,0.7,0.004,-15.9,0.29,0.66,0.4,2002,Atlanta Braves,Yes
3,0.317,91,0.271,0.157,0.027000000000000003,0.163,0.07400000000000001,0.256,0.368,0.28800000000000003,0.6,0.33899999999999997,0.48700000000000004,0.174,-10.8,-0.013999999999999999,-105.3,0.29,0.7,0.4,2002,Baltimore Orioles,No
4,0.352,107,0.302,0.168,0.027999999999999997,0.149,0.086,0.27699999999999997,0.389,0.26899999999999996,0.65,0.31,0.504,0.18600000000000003,3.5,0.006999999999999999,78.5,0.33,0.74,0.38,2002,Boston Red Sox,No
5,0.332,93,0.283,0.167,0.032,0.203,0.094,0.275,0.39799999999999996,0.248,0.69,0.29,0.513,0.196,-6.2,-0.018000000000000002,-9.5,0.28,0.75,0.37,2002,Chicago Cubs,No
6,0.35,107,0.287,0.181,0.035,0.153,0.08900000000000001,0.25,0.369,0.29100000000000004,0.61,0.314,0.489,0.19699999999999998,2.9,0.01,86.3,0.34,0.71,0.4,2002,Chicago White Sox,No
7,0.334,88,0.293,0.155,0.027000000000000003,0.19,0.09300000000000001,0.266,0.392,0.258,0.68,0.281,0.513,0.20600000000000002,-3.3,-0.005,-29.2,0.28,0.69,0.45,2002,Cincinnati Reds,No
8,0.328,98,0.271,0.163,0.032,0.16399999999999998,0.08900000000000001,0.249,0.405,0.266,0.7,0.308,0.519,0.17300000000000001,-0.2,-0.022000000000000002,-24.6,0.31,0.58,0.38,2002,Cleveland Indians,No
9,0.341,85,0.311,0.149,0.025,0.16899999999999998,0.081,0.27899999999999997,0.418,0.23,0.75,0.255,0.542,0.203,0.4,-0.002,19.1,0.33,0.66,0.48,2002,Colorado Rockies,No
10,0.302,85,0.283,0.132,0.021,0.175,0.061,0.26,0.382,0.27899999999999997,0.64,0.28600000000000003,0.513,0.201,-14.1,-0.015,-176.2,0.27,0.6,0.45,2002,Detroit Tigers,No
11,0.334,95,0.301,0.142,0.023,0.18,0.095,0.266,0.409,0.24100000000000002,0.72,0.27,0.524,0.20600000000000002,-2.4,-0.003,-14.9,0.28,0.71,0.39,2002,Florida Marlins,No
12,0.342,92,0.3,0.156,0.027000000000000003,0.179,0.094,0.282,0.375,0.266,0.62,0.28800000000000003,0.511,0.201,-2.6,-0.025,13.0,0.3,0.72,0.4,2002,Houston Astros,No
13,0.325,82,0.282,0.143,0.023,0.14800000000000002,0.084,0.268,0.38799999999999996,0.265,0.66,0.272,0.53,0.198,-8.8,-0.015,-83.2,0.32,0.68,0.47,2002,Kansas City Royals,No
14,0.33,98,0.291,0.146,0.025,0.153,0.07,0.258,0.414,0.25,0.75,0.26,0.545,0.195,0.7,0.008,18.9,0.31,0.72,0.43,2002,Los Angeles Dodgers,No
15,0.321,86,0.294,0.137,0.023,0.185,0.08199999999999999,0.263,0.42100000000000004,0.239,0.77,0.248,0.5379999999999999,0.213,-16.4,-0.022000000000000002,-91.9,0.27,0.65,0.39,2002,Milwaukee Brewers,No
16,0.339,103,0.309,0.165,0.027000000000000003,0.17600000000000002,0.076,0.258,0.418,0.255,0.74,0.272,0.524,0.204,1.4,0.02,-2.5,0.32,0.56,0.39,2002,Minnesota Twins,Yes
17,0.338,93,0.298,0.157,0.026000000000000002,0.177,0.092,0.265,0.415,0.23600000000000002,0.76,0.259,0.535,0.20600000000000002,2.5,0.009000000000000001,8.6,0.3,0.65,0.45,2002,Montreal Expos,No
18,0.328,92,0.289,0.139,0.026000000000000002,0.17,0.079,0.24600000000000002,0.40399999999999997,0.259,0.72,0.29,0.517,0.192,-7.7,-0.038,-13.8,0.29,0.67,0.41,2002,New York Mets,No
19,0.36,115,0.31,0.18,0.035,0.184,0.1,0.27699999999999997,0.39,0.27899999999999997,0.65,0.298,0.5,0.20199999999999999,10.0,0.078,128.3,0.32,0.72,0.44,2002,New York Yankees,Yes
20,0.343,106,0.284,0.171,0.033,0.16,0.09699999999999999,0.272,0.379,0.289,0.62,0.29,0.511,0.198,7.6,0.028999999999999998,37.5,0.3,0.7,0.41,2002,Oakland Athletics,Yes
21,0.343,105,0.294,0.163,0.026000000000000002,0.17300000000000001,0.10099999999999999,0.281,0.371,0.264,0.62,0.27899999999999997,0.518,0.203,4.2,0.001,13.0,0.28,0.71,0.42,2002,Philadelphia Phillies,No
22,0.318,80,0.281,0.137,0.024,0.183,0.08900000000000001,0.258,0.38299999999999995,0.27399999999999997,0.65,0.27899999999999997,0.523,0.19699999999999998,-7.2,-0.033,-69.3,0.28,0.64,0.42,2002,Pittsburgh Pirates,No
23,0.32,95,0.288,0.129,0.022000000000000002,0.172,0.08900000000000001,0.278,0.39399999999999996,0.262,0.67,0.27,0.507,0.223,-3.7,-0.015,-30.0,0.28,0.62,0.39,2002,San Diego Padres,No
24,0.345,108,0.307,0.144,0.024,0.158,0.099,0.289,0.39399999999999996,0.255,0.67,0.253,0.527,0.22,4.6,0.034,52.9,0.31,0.7,0.39,2002,Seattle Mariners,No
25,0.353,113,0.289,0.175,0.031,0.153,0.098,0.27,0.363,0.29,0.59,0.298,0.516,0.185,6.1,0.073,94.3,0.3,0.78,0.38,2002,San Francisco Giants,Yes
26,0.343,102,0.292,0.157,0.027999999999999997,0.14800000000000002,0.087,0.26899999999999996,0.389,0.26,0.68,0.297,0.517,0.187,7.0,0.044000000000000004,77.9,0.32,0.67,0.44,2002,St. Louis Cardinals,Yes
27,0.317,88,0.293,0.137,0.022000000000000002,0.18,0.07400000000000001,0.264,0.406,0.251,0.71,0.282,0.523,0.195,-9.4,-0.015,-104.7,0.3,0.69,0.39,2002,Tampa Bay Devil Rays,No
28,0.351,104,0.292,0.187,0.036000000000000004,0.16699999999999998,0.08800000000000001,0.27399999999999997,0.35700000000000004,0.299,0.57,0.28600000000000003,0.519,0.196,1.8,-0.005,43.5,0.32,0.65,0.41,2002,Texas Rangers,No
29,0.338,96,0.295,0.169,0.03,0.183,0.084,0.27699999999999997,0.381,0.28800000000000003,0.62,0.287,0.502,0.21100000000000002,0.7,-0.001,22.4,0.34,0.8,0.38,2002,Toronto Blue Jays,No
0,0.329,95,0.291,0.144,0.025,0.13699999999999998,0.078,0.198,0.41100000000000003,0.28,0.73,0.301,0.493,0.20600000000000002,-4.1,-0.006999999999999999,-32.5,0.31,0.68,0.43,2003,Anaheim Angels,No
1,0.333,83,0.295,0.153,0.024,0.161,0.085,0.205,0.444,0.248,0.84,0.297,0.502,0.201,-11.1,-0.091,-61.3,0.29,0.67,0.37,2003,Arizona Diamondbacks,No
2,0.366,113,0.302,0.192,0.037000000000000005,0.146,0.085,0.172,0.44,0.289,0.82,0.311,0.502,0.187,13.6,0.063,165.2,0.34,0.76,0.42,2003,Atlanta Braves,Yes
3,0.328,93,0.293,0.138,0.024,0.145,0.069,0.184,0.428,0.28600000000000003,0.77,0.318,0.483,0.19899999999999998,-6.5,0.0,-44.9,0.31,0.71,0.43,2003,Baltimore Orioles,No
4,0.372,118,0.307,0.202,0.036000000000000004,0.14400000000000002,0.095,0.17,0.386,0.341,0.64,0.317,0.474,0.21,13.5,0.14,160.0,0.33,0.72,0.39,2003,Boston Red Sox,Yes
5,0.335,91,0.297,0.157,0.027999999999999997,0.187,0.08,0.191,0.447,0.264,0.85,0.302,0.5,0.198,-4.9,-0.011000000000000001,-28.7,0.3,0.7,0.36,2003,Chicago Cubs,Yes
6,0.344,101,0.279,0.182,0.036000000000000004,0.149,0.084,0.183,0.397,0.3,0.68,0.32799999999999996,0.48200000000000004,0.19,-3.1,-0.027999999999999997,8.2,0.31,0.73,0.39,2003,Chicago White Sox,No
7,0.323,89,0.289,0.15,0.028999999999999998,0.214,0.084,0.217,0.425,0.248,0.78,0.281,0.505,0.214,-1.2,0.013000000000000001,-41.4,0.28,0.7,0.44,2003,Cincinnati Reds,No
8,0.322,93,0.286,0.148,0.026000000000000002,0.172,0.075,0.177,0.44,0.282,0.82,0.303,0.499,0.19699999999999998,-10.2,-0.022000000000000002,-86.0,0.3,0.59,0.45,2003,Cleveland Indians,No
9,0.355,94,0.302,0.179,0.032,0.18100000000000002,0.099,0.191,0.445,0.26899999999999996,0.84,0.289,0.509,0.20199999999999999,2.0,0.019,67.2,0.34,0.63,0.47,2003,Colorado Rockies,No
10,0.302,82,0.272,0.135,0.025,0.18100000000000002,0.073,0.166,0.44299999999999995,0.27899999999999997,0.87,0.313,0.485,0.20199999999999999,-22.7,-0.027000000000000003,-188.9,0.26,0.61,0.41,2003,Detroit Tigers,No
11,0.338,97,0.296,0.155,0.025,0.158,0.083,0.179,0.452,0.252,0.89,0.284,0.509,0.207,-2.1,0.009000000000000001,12.5,0.31,0.67,0.4,2003,Florida Marlins,Yes
12,0.346,97,0.289,0.169,0.03,0.162,0.08800000000000001,0.158,0.45299999999999996,0.285,0.86,0.314,0.49700000000000005,0.18899999999999997,-2.8,-0.045,46.0,0.32,0.69,0.4,2003,Houston Astros,No
13,0.344,96,0.301,0.153,0.026000000000000002,0.14800000000000002,0.076,0.18899999999999997,0.442,0.273,0.83,0.302,0.49200000000000005,0.20600000000000002,3.4,0.016,33.2,0.35,0.74,0.41,2003,Kansas City Royals,No
14,0.306,77,0.275,0.125,0.021,0.163,0.067,0.182,0.46299999999999997,0.239,0.93,0.292,0.507,0.20199999999999999,-16.6,-0.114,-159.3,0.26,0.69,0.38,2003,Los Angeles Dodgers,No
15,0.338,96,0.294,0.163,0.031,0.195,0.087,0.19399999999999998,0.456,0.251,0.89,0.28,0.507,0.213,-1.2,-0.011000000000000001,-37.1,0.28,0.72,0.36,2003,Milwaukee Brewers,No
16,0.344,103,0.312,0.154,0.025,0.162,0.081,0.157,0.47,0.281,0.92,0.313,0.48700000000000004,0.2,2.8,0.02,11.5,0.32,0.68,0.44,2003,Minnesota Twins,Yes
17,0.329,82,0.29,0.143,0.024,0.162,0.085,0.17800000000000002,0.494,0.22899999999999998,1.03,0.26899999999999996,0.516,0.215,-3.4,-0.021,-47.2,0.3,0.72,0.4,2003,Montreal Expos,No
18,0.315,80,0.282,0.128,0.021,0.172,0.081,0.17,0.46399999999999997,0.259,0.93,0.29,0.493,0.217,-10.5,-0.01,-86.3,0.29,0.69,0.41,2003,New York Mets,No
19,0.362,117,0.295,0.182,0.036000000000000004,0.162,0.106,0.18,0.44799999999999995,0.28600000000000003,0.83,0.308,0.505,0.187,9.4,0.06,108.7,0.31,0.75,0.43,2003,New York Yankees,Yes
20,0.332,95,0.273,0.162,0.027999999999999997,0.145,0.09,0.196,0.429,0.27899999999999997,0.76,0.298,0.501,0.20199999999999999,0.6,0.008,-1.4,0.32,0.77,0.46,2003,Oakland Athletics,Yes
21,0.342,104,0.301,0.158,0.026000000000000002,0.182,0.10300000000000001,0.221,0.442,0.25,0.82,0.282,0.502,0.21600000000000003,2.5,0.03,74.1,0.31,0.71,0.37,2003,Philadelphia Phillies,No
22,0.343,95,0.302,0.153,0.026000000000000002,0.166,0.084,0.17300000000000001,0.442,0.271,0.84,0.289,0.514,0.19699999999999998,-2.8,-0.027000000000000003,-0.5,0.3,0.7,0.39,2003,Pittsburgh Pirates,No
23,0.327,97,0.301,0.127,0.021,0.172,0.091,0.193,0.457,0.26,0.88,0.27399999999999997,0.499,0.22699999999999998,-3.6,-0.009000000000000001,-42.0,0.28,0.66,0.39,2003,San Diego Padres,No
24,0.339,105,0.306,0.139,0.022000000000000002,0.158,0.09300000000000001,0.18899999999999997,0.451,0.281,0.85,0.257,0.509,0.23399999999999999,2.3,-0.01,36.6,0.32,0.74,0.39,2003,Seattle Mariners,No
25,0.341,98,0.291,0.161,0.028999999999999998,0.158,0.096,0.192,0.423,0.264,0.78,0.303,0.51,0.188,6.1,0.032,23.0,0.3,0.59,0.37,2003,San Francisco Giants,Yes
26,0.358,112,0.302,0.175,0.03,0.147,0.09,0.204,0.42100000000000004,0.267,0.77,0.293,0.495,0.212,8.8,0.037000000000000005,128.5,0.33,0.72,0.41,2003,St. Louis Cardinals,No
27,0.324,93,0.301,0.139,0.022000000000000002,0.166,0.068,0.154,0.462,0.276,0.9,0.295,0.503,0.203,-8.6,-0.006999999999999999,-55.0,0.31,0.77,0.4,2003,Tampa Bay Devil Rays,No
28,0.348,96,0.287,0.188,0.038,0.16699999999999998,0.078,0.195,0.39399999999999996,0.295,0.66,0.327,0.48700000000000004,0.18600000000000003,-2.0,-0.004,6.8,0.31,0.72,0.42,2003,Texas Rangers,No
29,0.355,108,0.313,0.175,0.03,0.17,0.086,0.20600000000000002,0.42100000000000004,0.302,0.73,0.28300000000000003,0.491,0.226,8.5,0.03,105.4,0.34,0.6,0.41,2003,Toronto Blue Jays,No
0,0.346,103,0.312,0.147,0.026000000000000002,0.15,0.07200000000000001,0.18899999999999997,0.439,0.272,0.82,0.276,0.541,0.183,2.2,0.038,41.1,0.34,0.76,0.4,2004,Anaheim Angels,Yes
1,0.311,71,0.286,0.14,0.022000000000000002,0.16699999999999998,0.07200000000000001,0.184,0.444,0.266,0.84,0.258,0.545,0.198,-16.6,-0.01,-164.8,0.27,0.62,0.42,2004,Arizona Diamondbacks,No
2,0.347,99,0.309,0.164,0.027999999999999997,0.183,0.09300000000000001,0.177,0.45,0.273,0.87,0.27699999999999997,0.515,0.20800000000000002,6.1,0.02,53.2,0.31,0.73,0.38,2004,Atlanta Braves,Yes
3,0.349,105,0.309,0.15,0.026000000000000002,0.14800000000000002,0.08199999999999999,0.19,0.426,0.285,0.77,0.33899999999999997,0.473,0.188,-4.1,-0.013999999999999999,35.5,0.32,0.71,0.41,2004,Baltimore Orioles,No
4,0.368,111,0.319,0.19,0.034,0.183,0.10099999999999999,0.182,0.408,0.314,0.7,0.324,0.51,0.166,8.6,0.085,127.1,0.33,0.69,0.34,2004,Boston Red Sox,Yes
5,0.348,99,0.292,0.19,0.037000000000000005,0.172,0.078,0.179,0.419,0.293,0.76,0.29100000000000004,0.528,0.18100000000000002,-1.3,-0.066,25.5,0.31,0.7,0.41,2004,Chicago Cubs,No
6,0.35,102,0.288,0.189,0.039,0.166,0.081,0.18100000000000002,0.40299999999999997,0.282,0.71,0.272,0.541,0.187,6.1,0.011000000000000001,64.3,0.34,0.6,0.45,2004,Chicago White Sox,No
7,0.335,95,0.295,0.168,0.031,0.213,0.095,0.207,0.439,0.261,0.82,0.264,0.55,0.18600000000000003,5.8,0.051,10.0,0.29,0.75,0.38,2004,Cincinnati Reds,No
8,0.354,113,0.305,0.168,0.028999999999999998,0.156,0.094,0.172,0.43700000000000006,0.292,0.8,0.284,0.5379999999999999,0.177,4.1,0.012,65.7,0.32,0.63,0.43,2004,Cleveland Indians,No
9,0.353,94,0.314,0.18,0.032,0.187,0.09,0.188,0.433,0.268,0.82,0.259,0.542,0.19899999999999998,2.0,0.005,40.1,0.32,0.57,0.51,2004,Colorado Rockies,No
10,0.346,108,0.308,0.177,0.032,0.182,0.08199999999999999,0.191,0.41700000000000004,0.28600000000000003,0.75,0.304,0.522,0.174,-2.2,-0.013000000000000001,40.7,0.33,0.63,0.44,2004,Detroit Tigers,No
11,0.331,95,0.295,0.143,0.024,0.157,0.081,0.179,0.44,0.262,0.84,0.258,0.534,0.20800000000000002,0.7,0.003,-13.4,0.3,0.69,0.42,2004,Florida Marlins,No
12,0.348,100,0.293,0.17,0.03,0.159,0.094,0.18,0.414,0.29,0.75,0.273,0.534,0.19399999999999998,4.8,0.033,55.8,0.32,0.75,0.39,2004,Houston Astros,Yes
13,0.324,86,0.293,0.139,0.024,0.172,0.075,0.183,0.449,0.266,0.84,0.28,0.5379999999999999,0.182,-10.4,-0.002,-84.4,0.31,0.58,0.41,2004,Kansas City Royals,No
14,0.339,100,0.291,0.161,0.033,0.175,0.086,0.18100000000000002,0.446,0.263,0.85,0.267,0.539,0.19399999999999998,4.8,0.043,23.5,0.3,0.71,0.42,2004,Los Angeles Dodgers,Yes
15,0.321,81,0.3,0.139,0.022000000000000002,0.212,0.087,0.21100000000000002,0.446,0.24600000000000002,0.85,0.26899999999999996,0.534,0.19699999999999998,-13.2,-0.040999999999999995,-119.1,0.27,0.78,0.36,2004,Milwaukee Brewers,No
16,0.339,93,0.29,0.166,0.03,0.156,0.08199999999999999,0.155,0.457,0.294,0.87,0.294,0.527,0.179,-3.1,-0.027999999999999997,-41.8,0.31,0.72,0.42,2004,Minnesota Twins,Yes
17,0.316,74,0.273,0.143,0.025,0.151,0.081,0.18,0.447,0.255,0.86,0.27899999999999997,0.532,0.18899999999999997,-14.1,-0.038,-140.0,0.28,0.74,0.41,2004,Montreal Expos,No
18,0.326,86,0.282,0.16,0.03,0.187,0.083,0.168,0.424,0.298,0.77,0.263,0.537,0.2,-11.5,-0.04,-70.5,0.28,0.82,0.36,2004,New York Mets,No
19,0.363,115,0.285,0.189,0.038,0.154,0.105,0.17600000000000002,0.45,0.28600000000000003,0.84,0.293,0.545,0.163,13.4,0.06,107.7,0.32,0.72,0.4,2004,New York Yankees,Yes
20,0.347,103,0.3,0.163,0.028999999999999998,0.16399999999999998,0.094,0.203,0.41100000000000003,0.281,0.71,0.295,0.524,0.18100000000000002,0.6,-0.02,-16.4,0.3,0.68,0.37,2004,Oakland Athletics,No
21,0.352,99,0.297,0.176,0.033,0.17600000000000002,0.1,0.2,0.41700000000000004,0.281,0.75,0.282,0.527,0.192,5.1,-0.006,60.4,0.31,0.79,0.4,2004,Philadelphia Phillies,No
22,0.323,85,0.298,0.141,0.023,0.174,0.068,0.17,0.48100000000000004,0.253,0.98,0.272,0.54,0.188,-7.0,-0.015,-66.4,0.3,0.61,0.37,2004,Pittsburgh Pirates,No
23,0.338,106,0.301,0.141,0.022000000000000002,0.14400000000000002,0.09,0.19,0.433,0.28300000000000003,0.79,0.266,0.532,0.201,4.3,0.019,52.1,0.31,0.68,0.41,2004,San Diego Padres,No
24,0.328,91,0.308,0.127,0.021,0.166,0.077,0.174,0.46799999999999997,0.261,0.91,0.245,0.557,0.198,-15.4,-0.034,-111.4,0.28,0.72,0.37,2004,Seattle Mariners,No
25,0.349,104,0.29,0.168,0.027999999999999997,0.135,0.109,0.196,0.431,0.257,0.8,0.28600000000000003,0.5479999999999999,0.166,12.3,0.132,96.5,0.31,0.65,0.37,2004,San Francisco Giants,No
26,0.355,108,0.307,0.182,0.034,0.172,0.087,0.201,0.42200000000000004,0.27899999999999997,0.77,0.263,0.534,0.203,11.3,0.052000000000000005,118.5,0.33,0.7,0.45,2004,St. Louis Cardinals,Yes
27,0.326,90,0.286,0.147,0.024,0.155,0.077,0.175,0.441,0.282,0.81,0.29100000000000004,0.535,0.17300000000000001,-6.4,-0.028999999999999998,-68.4,0.31,0.76,0.38,2004,Tampa Bay Devil Rays,No
28,0.346,94,0.291,0.191,0.036000000000000004,0.17600000000000002,0.08,0.207,0.385,0.311,0.64,0.28300000000000003,0.523,0.19399999999999998,2.9,0.006999999999999999,36.4,0.34,0.66,0.44,2004,Texas Rangers,No
29,0.332,87,0.298,0.143,0.024,0.175,0.083,0.187,0.45799999999999996,0.268,0.86,0.267,0.53,0.203,-11.5,-0.023,-92.8,0.3,0.65,0.39,2004,Toronto Blue Jays,No
0,0.337,92,0.285,0.165,0.03,0.17300000000000001,0.096,0.171,0.446,0.27899999999999997,0.85,0.303,0.522,0.175,-4.6,-0.025,-51.9,0.26,0.72,0.38,2005,Arizona Diamondbacks,No
1,0.344,98,0.298,0.17,0.03,0.175,0.086,0.17,0.435,0.295,0.82,0.26899999999999996,0.524,0.207,7.2,0.055999999999999994,40.9,0.31,0.74,0.41,2005,Atlanta Braves,Yes
2,0.338,102,0.289,0.165,0.031,0.147,0.073,0.193,0.423,0.275,0.76,0.342,0.457,0.201,-2.9,0.001,-23.1,0.29,0.69,0.39,2005,Baltimore Orioles,No
3,0.362,114,0.31,0.174,0.031,0.163,0.102,0.184,0.41600000000000004,0.316,0.72,0.297,0.517,0.185,16.6,0.166,154.3,0.33,0.79,0.31,2005,Boston Red Sox,Yes
